method family species unit sample rf_val
SM_ME PF00004 RAT 3 3 0.625
SM_ME PF00004 RAT 3 4 0.6875
SM_ME PF00004 RAT 3 5 0.6875
SM_ME PF00004 RAT 3 6 0.625
SM_ME PF00004 RAT 3 7 0.5625
SM_ME PF00004 RAT 3 8 0.625
SM_ME PF00004 RAT 3 9 0.5625
SM_ME PF00004 RAT 3 10 0.625
SM_ME PF00004 RAT 4 1 0.625
SM_ME PF00004 RAT 4 2 0.625
SM_ME PF00004 RAT 4 3 0.5625
SM_ME PF00004 RAT 4 4 0.5625
SM_ME PF00004 RAT 4 5 0.625
SM_ME PF00004 RAT 4 6 0.625
SM_ME PF00004 RAT 4 7 0.5625
SM_ME PF00004 RAT 4 8 0.5625
SM_ME PF00004 RAT 4 9 0.6875
SM_ME PF00004 RAT 4 10 0.625
SM_ME PF00004 RAT 5 1 0.5625
SM_ME PF00004 RAT 5 2 0.5625
SM_ME PF00004 RAT 5 3 0.5625
SM_ME PF00004 RAT 5 4 0.5625
SM_ME PF00004 RAT 5 5 0.625
SM_ME PF00004 RAT 5 6 0.625
SM_ME PF00004 RAT 5 7 0.625
SM_ME PF00004 RAT 5 8 0.625
SM_ME PF00004 RAT 5 9 0.5625
SM_ME PF00004 RAT 5 10 0.625
SM_ME PF00004 RAT 6 1 0.625
SM_ME PF00004 RAT 6 2 0.625
SM_ME PF00004 RAT 6 3 0.625
SM_ME PF00004 RAT 6 4 0.625
SM_ME PF00004 RAT 6 5 0.625
SM_ME PF00004 RAT 6 6 0.625
SM_ME PF00004 RAT 6 7 0.625
SM_ME PF00004 RAT 6 8 0.625
SM_ME PF00004 RAT 6 9 0.625
SM_ME PF00004 RAT 6 10 0.625
SM_ME PF00004 RAT 1 1 0.6875
SM_ME PF00004 RAT 1 2 0.5
SM_ME PF00004 RAT 1 3 0.625
SM_ME PF00004 RAT 1 4 0.6875
SM_ME PF00004 RAT 1 5 0.6875
SM_ME PF00004 RAT 1 6 0.5625
SM_ME PF00004 RAT 1 7 0.6875
SM_ME PF00004 RAT 1 8 0.6875
SM_ME PF00004 RAT 1 9 0.8125
SM_ME PF00004 RAT 1 10 0.625
SM_ME PF00004 RAT 2 1 0.5625
SM_ME PF00004 RAT 2 2 0.6875
SM_ME PF00004 RAT 2 3 0.625
SM_ME PF00004 RAT 2 4 0.625
SM_ME PF00004 RAT 2 5 0.625
SM_ME PF00004 RAT 2 6 0.625
SM_ME PF00004 RAT 2 7 0.625
SM_ME PF00004 RAT 2 8 0.625
SM_ME PF00004 RAT 2 9 0.625
SM_ME PF00004 RAT 2 10 0.625
SM_ME PF00004 RAT 3 1 0.5
SM_ME PF00004 RAT 3 2 0.625
SM_ME PF00004 RAT 3 3 0.625
SM_ME PF00004 RAT 3 4 0.6875
SM_ME PF00004 RAT 3 5 0.6875
SM_ME PF00004 RAT 3 6 0.625
SM_ME PF00004 RAT 3 7 0.5625
SM_ME PF00004 RAT 3 8 0.625
SM_ME PF00004 RAT 3 9 0.5625
SM_ME PF00004 RAT 3 10 0.625
SM_ME PF00004 RAT 4 1 0.625
SM_ME PF00004 RAT 4 2 0.625
SM_ME PF00004 RAT 4 3 0.5625
SM_ME PF00004 RAT 4 4 0.5625
SM_ME PF00004 RAT 4 5 0.625
SM_ME PF00004 RAT 4 6 0.625
SM_ME PF00004 RAT 4 7 0.5625
SM_ME PF00004 RAT 4 8 0.5625
SM_ME PF00004 RAT 4 9 0.6875
SM_ME PF00004 RAT 4 10 0.625
SM_ME PF00004 RAT 5 1 0.5625
SM_ME PF00004 RAT 5 2 0.5625
SM_ME PF00004 RAT 5 3 0.5625
SM_ME PF00004 RAT 5 4 0.5625
SM_ME PF00004 RAT 5 5 0.625
SM_ME PF00004 RAT 5 6 0.625
SM_ME PF00004 RAT 5 7 0.625
SM_ME PF00004 RAT 5 8 0.625
SM_ME PF00004 RAT 5 9 0.5625
SM_ME PF00004 RAT 5 10 0.625
SM_ME PF00004 RAT 6 1 0.625
SM_ME PF00004 RAT 6 2 0.625
SM_ME PF00004 RAT 6 3 0.625
SM_ME PF00004 RAT 6 4 0.625
SM_ME PF00004 RAT 6 5 0.625
SM_ME PF00004 RAT 6 6 0.625
SM_ME PF00004 RAT 6 7 0.625
SM_ME PF00004 RAT 6 8 0.625
SM_ME PF00004 RAT 6 9 0.625
SM_ME PF00004 RAT 6 10 0.625
SM_ME PF00004 RAT 1 1 0.6875
SM_ME PF00004 RAT 1 2 0.5
SM_ME PF00004 RAT 1 3 0.625
SM_ME PF00004 RAT 1 4 0.6875
SM_ME PF00004 RAT 1 5 0.6875
SM_ME PF00004 RAT 1 6 0.5625
SM_ME PF00004 RAT 1 7 0.6875
SM_ME PF00004 RAT 1 8 0.6875
SM_ME PF00004 RAT 1 9 0.8125
SM_ME PF00004 RAT 1 10 0.625
SM_ME PF00004 RAT 2 1 0.5625
SM_ME PF00004 RAT 2 2 0.6875
SM_ME PF00004 RAT 2 3 0.625
SM_ME PF00004 RAT 2 4 0.625
SM_ME PF00004 RAT 2 5 0.625
SM_ME PF00004 RAT 2 6 0.625
SM_ME PF00004 RAT 2 7 0.625
SM_ME PF00004 RAT 2 8 0.625
SM_ME PF00004 RAT 2 9 0.625
SM_ME PF00004 RAT 2 10 0.625
SM_ME PF00004 RAT 3 1 0.5
SM_ME PF00004 RAT 3 2 0.625
SM_ME PF00004 RAT 3 3 0.625
SM_ME PF00004 RAT 3 4 0.6875
SM_ME PF00004 RAT 3 5 0.6875
SM_ME PF00004 RAT 3 6 0.625
SM_ME PF00004 RAT 3 7 0.5625
SM_ME PF00004 RAT 3 8 0.625
SM_ME PF00004 RAT 3 9 0.5625
SM_ME PF00004 RAT 3 10 0.625
SM_ME PF00004 RAT 4 1 0.625
SM_ME PF00004 RAT 4 2 0.625
SM_ME PF00004 RAT 4 3 0.5625
SM_ME PF00004 RAT 4 4 0.5625
SM_ME PF00004 RAT 4 5 0.625
SM_ME PF00004 RAT 4 6 0.625
SM_ME PF00004 RAT 4 7 0.5625
SM_ME PF00004 RAT 4 8 0.5625
SM_ME PF00004 RAT 4 9 0.6875
SM_ME PF00004 RAT 4 10 0.625
SM_ME PF00004 RAT 5 1 0.5625
SM_ME PF00004 RAT 5 2 0.5625
SM_ME PF00004 RAT 5 3 0.5625
SM_ME PF00004 RAT 5 4 0.5625
SM_ME PF00004 RAT 5 5 0.625
SM_ME PF00004 RAT 5 6 0.625
SM_ME PF00004 RAT 5 7 0.625
SM_ME PF00004 RAT 5 8 0.625
SM_ME PF00004 RAT 5 9 0.5625
SM_ME PF00004 RAT 5 10 0.625
SM_ME PF00004 RAT 6 1 0.625
SM_ME PF00004 RAT 6 2 0.625
SM_ME PF00004 RAT 6 3 0.625
SM_ME PF00004 RAT 6 4 0.625
SM_ME PF00004 RAT 6 5 0.625
SM_ME PF00004 RAT 6 6 0.625
SM_ME PF00004 RAT 6 7 0.625
SM_ME PF00004 RAT 6 8 0.625
SM_ME PF00004 RAT 6 9 0.625
SM_ME PF00004 RAT 6 10 0.625
SM_ME PF00004 RAT 1 1 0.6875
SM_ME PF00004 RAT 1 2 0.5
SM_ME PF00004 RAT 1 3 0.625
SM_ME PF00004 RAT 1 4 0.6875
SM_ME PF00004 RAT 1 5 0.6875
SM_ME PF00004 RAT 1 6 0.5625
SM_ME PF00004 RAT 1 7 0.6875
SM_ME PF00004 RAT 1 8 0.6875
SM_ME PF00004 RAT 1 9 0.8125
SM_ME PF00004 RAT 1 10 0.625
SM_ME PF00004 RAT 2 1 0.5625
SM_ME PF00004 RAT 2 2 0.6875
SM_ME PF00004 RAT 2 3 0.625
SM_ME PF00004 RAT 2 4 0.625
SM_ME PF00004 RAT 2 5 0.625
SM_ME PF00004 RAT 2 6 0.625
SM_ME PF00004 RAT 2 7 0.625
SM_ME PF00004 RAT 2 8 0.625
SM_ME PF00004 RAT 2 9 0.625
SM_ME PF00004 RAT 2 10 0.625
SM_ME PF00004 RAT 3 1 0.5
SM_ME PF00004 RAT 3 2 0.625
SM_ME PF00004 RAT 3 3 0.625
SM_ME PF00004 RAT 3 4 0.6875
SM_ME PF00004 RAT 3 5 0.6875
SM_ME PF00004 RAT 3 6 0.625
SM_ME PF00004 RAT 3 7 0.5625
SM_ME PF00004 RAT 3 8 0.625
SM_ME PF00004 RAT 3 9 0.5625
SM_ME PF00004 RAT 3 10 0.625
SM_ME PF00004 RAT 4 1 0.625
SM_ME PF00004 RAT 4 2 0.625
SM_ME PF00004 RAT 4 3 0.5625
SM_ME PF00004 RAT 4 4 0.5625
SM_ME PF00004 RAT 4 5 0.625
SM_ME PF00004 RAT 4 6 0.625
SM_ME PF00004 RAT 4 7 0.5625
SM_ME PF00004 RAT 4 8 0.5625
SM_ME PF00004 RAT 4 9 0.6875
SM_ME PF00004 RAT 4 10 0.625
SM_ME PF00004 RAT 5 1 0.5625
SM_ME PF00004 RAT 5 2 0.5625
SM_ME PF00004 RAT 5 3 0.5625
SM_ME PF00004 RAT 5 4 0.5625
SM_ME PF00004 RAT 5 5 0.625
SM_ME PF00004 RAT 5 6 0.625
SM_ME PF00004 RAT 5 7 0.625
SM_ME PF00004 RAT 5 8 0.625
SM_ME PF00004 RAT 5 9 0.5625
SM_ME PF00004 RAT 5 10 0.625
SM_ME PF00004 RAT 6 1 0.625
SM_ME PF00004 RAT 6 2 0.625
SM_ME PF00004 RAT 6 3 0.625
SM_ME PF00004 RAT 6 4 0.625
SM_ME PF00004 RAT 6 5 0.625
SM_ME PF00004 RAT 6 6 0.625
SM_ME PF00004 RAT 6 7 0.625
SM_ME PF00004 RAT 6 8 0.625
SM_ME PF00004 RAT 6 9 0.625
SM_ME PF00004 RAT 6 10 0.625
SM_ML PF00004 RAT 1 1 0.6875
SM_ML PF00004 RAT 1 2 0.6875
SM_ML PF00004 RAT 1 3 0
